DATE,AAAFFM
2001-04-01,2.40
2001-05-01,3.08
2001-06-01,3.21
2001-07-01,3.36
2001-08-01,3.37
2001-09-01,4.10
2001-10-01,4.54
2001-11-01,4.88
2001-12-01,4.95
2002-01-01,4.82
2002-02-01,4.77
2002-03-01,5.08
2002-04-01,5.01
2002-05-01,5.00
2002-06-01,4.88
2002-07-01,4.80
2002-08-01,4.63
2002-09-01,4.40
2002-10-01,4.57
2002-11-01,4.97
2002-12-01,4.97
2003-01-01,4.93
2003-02-01,4.69
2003-03-01,4.64
2003-04-01,4.48
2003-05-01,3.96
2003-06-01,3.75
2003-07-01,4.48
2003-08-01,4.85
2003-09-01,4.71
2003-10-01,4.69
2003-11-01,4.65
2003-12-01,4.64
2004-01-01,4.54
2004-02-01,4.49
2004-03-01,4.33
2004-04-01,4.73
2004-05-01,5.04
2004-06-01,4.98
2004-07-01,4.56
2004-08-01,4.22
2004-09-01,3.85
2004-10-01,3.71
2004-11-01,3.59
2004-12-01,3.31
2005-01-01,3.08
2005-02-01,2.70
2005-03-01,2.77
2005-04-01,2.54
2005-05-01,2.15
2005-06-01,1.92
2005-07-01,1.80
2005-08-01,1.59
2005-09-01,1.51
2005-10-01,1.57
2005-11-01,1.42
2005-12-01,1.21
2006-01-01,1.00
2006-02-01,0.86
2006-03-01,0.94
2006-04-01,1.05
2006-05-01,1.01
2006-06-01,0.90
2006-07-01,0.61
2006-08-01,0.43
2006-09-01,0.26
2006-10-01,0.26
2006-11-01,0.08
2006-12-01,0.08
2007-01-01,0.15
2007-02-01,0.13
2007-03-01,0.04
2007-04-01,0.22
2007-05-01,0.22
2007-06-01,0.54
2007-07-01,0.47
2007-08-01,0.77
2007-09-01,0.80
2007-10-01,0.90
2007-11-01,0.95
2007-12-01,1.25
2008-01-01,1.39
2008-02-01,2.55
2008-03-01,2.90
2008-04-01,3.27
2008-05-01,3.59
2008-06-01,3.68
2008-07-01,3.66
2008-08-01,3.64
2008-09-01,3.84
2008-10-01,5.31
2008-11-01,5.73
2008-12-01,4.89
2009-01-01,4.90
2009-02-01,5.05
2009-03-01,5.32
2009-04-01,5.24
2009-05-01,5.36
2009-06-01,5.40
2009-07-01,5.25
2009-08-01,5.10
2009-09-01,4.98
2009-10-01,5.03
2009-11-01,5.07
2009-12-01,5.14
2010-01-01,5.15
2010-02-01,5.22
2010-03-01,5.11
2010-04-01,5.09
2010-05-01,4.76
2010-06-01,4.70
2010-07-01,4.54
2010-08-01,4.30
2010-09-01,4.34
2010-10-01,4.49
2010-11-01,4.68
2010-12-01,4.84
2011-01-01,4.87
2011-02-01,5.06
2011-03-01,4.99
2011-04-01,5.06
2011-05-01,4.87
2011-06-01,4.90
2011-07-01,4.86
2011-08-01,4.27
2011-09-01,4.01
2011-10-01,3.91
2011-11-01,3.79
2011-12-01,3.86
2012-01-01,3.77
2012-02-01,3.75
2012-03-01,3.86
2012-04-01,3.82
2012-05-01,3.64
2012-06-01,3.48
2012-07-01,3.24
2012-08-01,3.35
2012-09-01,3.35
2012-10-01,3.31
2012-11-01,3.34
2012-12-01,3.49
2013-01-01,3.66
2013-02-01,3.75
2013-03-01,3.79
2013-04-01,3.58
2013-05-01,3.78
2013-06-01,4.18
2013-07-01,4.25
2013-08-01,4.46
2013-09-01,4.56
2013-10-01,4.44
2013-11-01,4.55
2013-12-01,4.53
2014-01-01,4.42
2014-02-01,4.38
2014-03-01,4.30
2014-04-01,4.15
2014-05-01,4.07
2014-06-01,4.15
2014-07-01,4.07
2014-08-01,3.99
2014-09-01,4.02
2014-10-01,3.83
2014-11-01,3.83
2014-12-01,3.67
2015-01-01,3.35
2015-02-01,3.50
2015-03-01,3.53
2015-04-01,3.40
2015-05-01,3.86
2015-06-01,4.06
2015-07-01,4.02
2015-08-01,3.90
2015-09-01,3.93
2015-10-01,3.83
2015-11-01,3.94
2015-12-01,3.73
2016-01-01,3.66
2016-02-01,3.58
2016-03-01,3.46
2016-04-01,3.25
2016-05-01,3.28
2016-06-01,3.12
2016-07-01,2.89
2016-08-01,2.92
2016-09-01,3.01
2016-10-01,3.11
2016-11-01,3.45
2016-12-01,3.52
2017-01-01,3.27
2017-02-01,3.29
2017-03-01,3.22
2017-04-01,2.97
2017-05-01,2.94
2017-06-01,2.64
2017-07-01,2.55
2017-08-01,2.47
2017-09-01,2.48
2017-10-01,2.45
2017-11-01,2.41
2017-12-01,2.21
2018-01-01,2.14
2018-02-01,2.4
2018-03-01,2.36
2018-04-01,2.16
2018-05-01,2.3
2018-06-01,2.14
2018-07-01,1.96
2018-08-01,1.97
2018-09-01,2.03
2018-10-01,1.95
2018-11-01,2.02
2018-12-01,1.75
